X,Y,OBJECTID,FACILITY_SIZE,SPDES_ID,FACILITY_NAME,MOREINFO,FACILITY_NAME_LOWER
364239.9024,4752698.1258,467,Large,NYA00E007,"Aurora-Oakwood Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"aurora-oakwood dairy, llc"
364366.9656,4733142.8401,469,Large,NYA00E009,"Aurora Ridge Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"aurora ridge dairy, llc"
366948.1377,4725618.7338,471,Large,NYA00E012,"Fessenden Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"fessenden dairy, llc"
427054.213,4767033.6769,472,Large,NYA00E013,Tuscarora Dairy LLC,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,tuscarora dairy llc
234592.966,4750289.0853,474,Large,NYA00E015,Red Maples Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,red maples dairy
234588.8355,4752922.3063,476,Large,NYA00E017,McCormick Family Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,mccormick family dairy
238539.4296,4770835.7216,480,Medium,NYA00E021,Post Dairy Farms,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,post dairy farms
513649.9105,4758562.4546,482,Large,NYA00E023,Insight Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,insight dairy
450558.0426,4857608.1034,484,Large,NYA00E025,Moserdale Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,moserdale dairy
463125.6097,4838799.6167,486,Large,NYA00E027,Demko Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,demko dairy
353965.8666,4782853.1331,494,Large,NYA00E035,"Merrell Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"merrell dairy, llc"
435945.5286,4863195.3859,496,Large,NYA00E037,Milk Street Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,milk street dairy
377301.5968,4721787.5813,497,Large,NYA00E038,Willet Dairy LLC,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,willet dairy llc
370859.9734,4734964.8946,501,Large,NYA00E042,"Vansridge Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"vansridge dairy, llc"
472174.6116,4938436.6277,506,Large,NYA00E049,"KELLY DAIRY, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"kelly dairy, llc"
485183.6674,4937714.2116,507,Medium,NYA00E050,"TERIELE FAMILY DAIRY, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"teriele family dairy, llc"
108296.8244,4669199.3208,519,Medium,NYA00E064,"4 Jacks Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"4 jacks dairy, llc"
547477.201,4963961.1197,541,Large,NYA00E090,Carsada Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,carsada dairy
614341.8369,4943355.0977,545,Medium,NYA00E094,Ashline Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,ashline dairy
608083.3153,4767390.8137,546,Medium,NYA00E095,Koval Brothers Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,koval brothers dairy
550576.8259,4968461.4627,547,Large,NYA00E096,PAPAS Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,papas dairy
607221.7807,4768781.5554,549,Large,NYA00E100,Turning Point Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,turning point dairy
607036.8126,4768338.084,553,Medium,NYA00E104,Hanehan Family Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,hanehan family dairy
611773.8169,4778991.2594,557,Large,NYA00E108,Barber Bros. Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,barber bros. dairy
487588.6568,4953980.8886,560,Large,NYA00E111,Mapleview Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,mapleview dairy
491990.372,4964788.0258,562,Large,NYA00E113,River Breeze Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,river breeze dairy
458173.2207,4758357.681,566,Large,NYA00E117,Truandvin Dairy,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,truandvin dairy
375104.8748,4716883.0728,570,Large,NYA00E121,Walnut Ridge Dairy LLC,https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,walnut ridge dairy llc
422608.0369,4743074.0829,571,Large,NYA00E122,"Barbland Dairy, LLC",https://dec.ny.gov/regulatory/permits-licenses/wastewater-stormwater-water-withdrawal/spdes-permit-program/concentrated-animal-feeding-operations,"barbland dairy, llc"
